Date,Open,High,Low,Close,Adj Close,Volume
1999-04-01,2106.389893,2283.550049,1952.359985,2136.389893,2136.389893,23426400000
1999-05-01,2136.389893,2239.860107,1960.550049,2089.699951,2089.699951,18519390000
1999-06-01,2089.699951,2320.429932,1987.400024,2296.770020,2296.770020,19607990000
1999-07-01,2296.770020,2468.419922,2233.149902,2270.929932,2270.929932,20915660000
1999-08-01,2270.929932,2467.459961,2120.260010,2396.870117,2396.870117,20246710000
1999-09-01,2396.870117,2551.659912,2345.219971,2407.899902,2407.899902,21333490000
1999-10-01,2407.699951,2651.120117,2299.949951,2637.439941,2637.439941,22684970000
1999-11-01,2637.040039,3151.770020,2612.389893,2966.709961,2966.709961,28754050000
1999-12-01,2970.040039,3750.409912,2956.790039,3707.830078,3707.830078,31236210000
2000-01-01,3755.739990,3905.100098,3314.750000,3570.050049,3570.050049,33421060000
2000-02-01,3580.290039,4297.459961,3544.929932,4266.939941,4266.939941,35644700000
2000-03-01,4275.720215,4816.350098,4049.979980,4397.839844,4397.839844,43200490000
2000-04-01,4355.700195,4355.700195,3107.419922,3773.179932,3773.179932,35147970000
2000-05-01,3789.199951,3871.929932,2897.270020,3324.080078,3324.080078,30831980000
2000-06-01,3331.800049,3990.209961,3331.800049,3763.790039,3763.790039,33352380000
2000-07-01,3763.790039,4089.040039,3437.590088,3609.350098,3609.350098,30916110000
2000-08-01,3609.350098,4080.479980,3341.830078,4077.590088,4077.590088,33222920000
2000-09-01,4084.110107,4147.189941,3505.179932,3570.610107,3570.610107,34727330000
2000-10-01,3613.739990,3613.860107,2956.199951,3282.300049,3282.300049,44129010000
2000-11-01,3214.399902,3369.469971,2426.409912,2506.540039,2506.540039,38181910000
2000-12-01,2566.679932,2990.830078,2174.760010,2341.699951,2341.699951,44347190000
2001-01-01,2341.280029,2771.629883,2087.320068,2593.000000,2593.000000,49399780000
2001-02-01,2586.239990,2627.389893,1880.469971,1908.319946,1908.319946,36428040000
2001-03-01,1879.839966,2029.010010,1530.140015,1573.250000,1573.250000,44719260000
2001-04-01,1569.660034,1981.900024,1348.520020,1855.150024,1855.150024,42649960000
